     <bin>     <x>       <Pt>      <z>        <Q2>     <y>     <Yield>   <Astat>
     1378     0.000     0.000     0.000     0.000     0.000        0     0.000
     1379     0.000     0.000     0.000     0.000     0.000        0     0.000
     1380     0.000     0.000     0.000     0.000     0.000        0     0.000
     1381     0.000     0.000     0.000     0.000     0.000        0     0.000
     1382     0.000     0.000     0.000     0.000     0.000        0     0.000
     1383     0.000     0.000     0.000     0.000     0.000        0     0.000
     1384     0.000     0.000     0.000     0.000     0.000        0     0.000
     1385     0.000     0.000     0.000     0.000     0.000        0     0.000
     1386     0.000     0.000     0.000     0.000     0.000        0     0.000
     1387     0.000     0.000     0.000     0.000     0.000        0     0.000
     1388     0.000     0.000     0.000     0.000     0.000        0     0.000
     1389     0.000     0.000     0.000     0.000     0.000        0     0.000
     1390     0.000     0.000     0.000     0.000     0.000        0     0.000
     1391     0.000     0.000     0.000     0.000     0.000        0     0.000
     1392     0.000     0.000     0.000     0.000     0.000        0     0.000
     1393     0.000     0.000     0.000     0.000     0.000        0     0.000
     1394     0.000     0.000     0.000     0.000     0.000        0     0.000
     1395     0.000     0.000     0.000     0.000     0.000        0     0.000
     1396     0.000     0.000     0.000     0.000     0.000        0     0.000
     1397     0.000     0.000     0.000     0.000     0.000        0     0.000
     1398     0.000     0.000     0.000     0.000     0.000        0     0.000
     1399     0.000     0.000     0.000     0.000     0.000        0     0.000
     1400     0.111     0.118     0.552     1.160     0.509     2222     0.063
     1401     0.103     0.237     0.546     1.194     0.565    13979     0.025
     1402     0.098     0.383     0.545     1.199     0.602    27655     0.018
     1403     0.095     0.528     0.545     1.202     0.626    46069     0.014
     1404     0.093     0.672     0.546     1.207     0.645    43993     0.014
     1405     0.091     0.822     0.545     1.206     0.654    35148     0.016
     1406     0.090     0.969     0.545     1.209     0.665    24209     0.019
     1407     0.089     1.116     0.545     1.213     0.672    14331     0.025
     1408     0.087     1.265     0.545     1.222     0.689     7051     0.036
     1409     0.084     1.413     0.544     1.234     0.722     2806     0.056
     1410     0.150     0.097     0.550     1.306     0.427    10308     0.029
     1411     0.147     0.228     0.548     1.307     0.434    20924     0.021
     1412     0.147     0.379     0.546     1.302     0.433    31025     0.017
     1413     0.146     0.524     0.548     1.305     0.437    36693     0.016
     1414     0.146     0.671     0.547     1.305     0.437    28738     0.018
     1415     0.146     0.819     0.547     1.305     0.438    19591     0.021
     1416     0.141     0.963     0.546     1.316     0.457     9543     0.031
     1417     0.133     1.105     0.544     1.349     0.495     2739     0.057
     1418     0.127     1.245     0.541     1.417     0.542      417     0.146
     1419     0.122     1.365     0.530     1.472     0.586        7     1.127
     1420     0.207     0.097     0.550     1.385     0.326     6167     0.038
     1421     0.209     0.232     0.548     1.381     0.323    14072     0.025
     1422     0.208     0.375     0.548     1.380     0.324    18683     0.022
     1423     0.206     0.523     0.548     1.381     0.326    17490     0.023
     1424     0.203     0.665     0.546     1.384     0.332    11583     0.028
     1425     0.192     0.801     0.541     1.397     0.353     3481     0.051
     1426     0.185     0.922     0.529     1.452     0.380      143     0.249
     1427     0.000     0.000     0.000     0.000     0.000        0     0.000
     1428     0.000     0.000     0.000     0.000     0.000        0     0.000
     1429     0.000     0.000     0.000     0.000     0.000        0     0.000
     1430     0.264     0.102     0.550     1.430     0.263     2210     0.063
     1431     0.265     0.232     0.547     1.427     0.262     7657     0.034
     1432     0.263     0.371     0.548     1.428     0.264     8099     0.033
     1433     0.255     0.510     0.543     1.431     0.272     4024     0.047
     1434     0.247     0.626     0.528     1.448     0.285      365     0.156
     1435     0.000     0.000     0.000     0.000     0.000        0     0.000
     1436     0.000     0.000     0.000     0.000     0.000        0     0.000
     1437     0.000     0.000     0.000     0.000     0.000        0     0.000
     1438     0.000     0.000     0.000     0.000     0.000        0     0.000
     1439     0.000     0.000     0.000     0.000     0.000        0     0.000
     1440     0.310     0.107     0.545     1.461     0.228      293     0.174
     1441     0.309     0.230     0.542     1.459     0.228      934     0.098
     1442     0.308     0.347     0.533     1.462     0.230      503     0.133
     1443     0.302     0.462     0.506     1.478     0.237        5     1.333
     1444     0.000     0.000     0.000     0.000     0.000        0     0.000
     1445     0.000     0.000     0.000     0.000     0.000        0     0.000
